# Gurgaon Phase-0 seed venues — DRAFT for founder correction (spec §4b).
# This is a STARTER list of ~45 anchor venues drafted from general knowledge.
# It is NOT ground truth: verify/extend to the top ~300 across hubs, ranked by
# where the tribe actually goes. Every row is resolved against the Google
# Places API by scripts/seed-gurgaon-places.ts before any SQL is generated —
# rows that don't resolve are flagged, so nothing unverified enters the DB.
# Columns: name,hub,zone,category,search_query
# hub ∈ 32nd_ave|cyberhub|gcr|gc_ext|m3m_ifc|worldmark_65|sector_29|galleria|crosspoint|south_point|mg_road|kitchens|sohna_road|sector_68_airia|udyog_vihar
# category ∈ restaurant|fine_dining|cafe|bakery_dessert|street_food|bar|cocktail_bar|brewery|club|live_music
name,hub,zone,category,search_query
Comorin,gcr,gurgaon,restaurant,"Comorin One Horizon Center Gurgaon"
Whisky Samba,gcr,gurgaon,cocktail_bar,"Whisky Samba Two Horizon Center Gurgaon"
Di Ghent Cafe,gcr,gurgaon,cafe,"Di Ghent Cafe Gurgaon"
Burma Burma,cyberhub,gurgaon,restaurant,"Burma Burma Cyber Hub Gurgaon"
Farzi Cafe,cyberhub,gurgaon,restaurant,"Farzi Cafe Cyber Hub Gurgaon"
SodaBottleOpenerWala,cyberhub,gurgaon,restaurant,"SodaBottleOpenerWala Cyber Hub Gurgaon"
The Wine Company,cyberhub,gurgaon,bar,"The Wine Company Cyber Hub Gurgaon"
Soi 7 Pub & Brewery,cyberhub,gurgaon,brewery,"Soi 7 Cyber Hub Gurgaon"
Imperfecto Shor,cyberhub,gurgaon,live_music,"Imperfecto Shor Cyber Hub Gurgaon"
Dhaba Estd 1986,cyberhub,gurgaon,restaurant,"Dhaba Estd 1986 Cyber Hub Gurgaon"
Made in Punjab,cyberhub,gurgaon,restaurant,"Made in Punjab Cyber Hub Gurgaon"
Mamagoto,cyberhub,gurgaon,restaurant,"Mamagoto Cyber Hub Gurgaon"
Yum Yum Cha,cyberhub,gurgaon,restaurant,"Yum Yum Cha Cyber Hub Gurgaon"
Cyber Hub Social,cyberhub,gurgaon,bar,"Social Cyber Hub Gurgaon"
Garam Dharam,cyberhub,gurgaon,restaurant,"Garam Dharam Cyber Hub Gurgaon"
